"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "XML", "TypeScript JSX", "Markdown", "PostCSS", "YAML", "comment", "blank", "total"
"/Users/danielmark/Projects/hackathons/cha-ching/app/components/ui/table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 12, 117
"/Users/danielmark/Projects/hackathons/cha-ching/app/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"/Users/danielmark/Projects/hackathons/cha-ching/app/components/ui/tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 8, 62
"/Users/danielmark/Projects/hackathons/cha-ching/app/eslint.config.mjs", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/danielmark/Projects/hackathons/cha-ching/app/hooks/use-mobile.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/danielmark/Projects/hackathons/cha-ching/app/lib/utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/danielmark/Projects/hackathons/cha-ching/app/next.config.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 3, 12
"/Users/danielmark/Projects/hackathons/cha-ching/app/package.json", "JSON", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 1, 49
"/Users/danielmark/Projects/hackathons/cha-ching/app/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 6475, 0, 1492, 7967
"/Users/danielmark/Projects/hackathons/cha-ching/app/postcss.config.mjs", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/danielmark/Projects/hackathons/cha-ching/app/providers/NextAuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 7, 39
"/Users/danielmark/Projects/hackathons/cha-ching/app/providers/RainbowKitProviderWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 6, 52
"/Users/danielmark/Projects/hackathons/cha-ching/app/public/file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/danielmark/Projects/hackathons/cha-ching/app/public/globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/danielmark/Projects/hackathons/cha-ching/app/public/next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/danielmark/Projects/hackathons/cha-ching/app/public/vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/danielmark/Projects/hackathons/cha-ching/app/public/window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/danielmark/Projects/hackathons/cha-ching/app/tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"/Users/danielmark/Projects/hackathons/cha-ching/app/types/next-auth.d.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 16, 27, 69, 75, 5, 3146, 23, 118, 6475, 30, 1851, 11835
